Student_ID,Age,Gender,Grade_Level,Field_of_Study,Usage_of_VR_in_Education,Hours_of_VR_Usage_Per_Week,Engagement_Level,Improvement_in_Learning_Outcomes,Subject,Instructor_VR_Proficiency,Perceived_Effectiveness_of_VR,Access_to_VR_Equipment,Impact_on_Creativity,Stress_Level_with_VR_Usage,Collaboration_with_Peers_via_VR,Feedback_from_Educators_on_VR,Interest_in_Continuing_VR_Based_Learning,Region,School_Support_for_VR_in_Curriculum
STUD0018,-0.5826700042886086,0,0,1,1,1.584014112570928,0,0,3,0,3,1,4,2,1,0,0,2,0
STUD0019,-0.9488757765773448,0,0,4,0,-0.32650827624939294,2,1,3,0,4,0,3,0,0,1,1,3,1
STUD0020,-0.9488757765773448,0,0,2,1,0.9471733162974876,2,1,6,2,0,0,2,2,1,0,0,2,1
STUD0021,0.5159473125776002,2,0,1,1,0.9471733162974876,2,0,3,1,1,1,3,1,0,2,1,4,1
STUD0022,-0.9488757765773448,0,1,5,0,1.2655937144342078,2,1,1,2,2,0,1,1,0,1,0,3,1
STUD0023,1.0652559710107046,3,0,0,1,1.2655937144342078,2,1,1,0,0,0,4,0,0,1,1,0,0
STUD0024,-0.7657728904329767,2,2,3,1,-0.32650827624939294,2,1,2,2,4,1,0,2,1,0,0,4,1
STUD0025,-0.9488757765773448,2,2,2,1,0.6287529181607675,3,0,5,0,0,0,4,2,1,1,0,2,0
STUD0026,-1.131978662721713,1,2,3,0,-0.6449286743861131,0,0,4,1,1,0,2,0,0,0,1,4,1
STUD0027,0.6990501987219684,1,2,6,1,-1.2817694706595533,1,1,4,0,4,1,3,0,1,1,1,1,1
STUD0028,-1.131978662721713,2,2,6,1,-0.6449286743861131,3,1,4,1,2,0,3,1,1,0,0,3,0
STUD0029,0.3328444264332321,0,0,0,1,-0.008087878112672791,3,0,0,2,3,0,0,1,1,1,1,4,0
STUD0030,0.6990501987219684,2,1,3,1,1.584014112570928,4,1,4,2,1,0,0,2,0,1,0,0,0
STUD0031,-0.9488757765773448,3,1,1,1,0.3103325200240474,4,0,4,0,0,0,0,2,1,1,0,1,1
STUD0032,-1.6812873211548174,0,0,5,0,-1.6001898687962735,4,0,2,0,2,0,4,0,0,0,1,2,1
STUD0033,0.14974154028886394,1,1,0,0,0.9471733162974876,2,1,2,2,3,0,1,1,1,2,0,3,1
STUD0034,-0.5826700042886086,3,2,0,0,0.9471733162974876,2,1,5,0,2,0,4,0,1,1,0,3,1
STUD0035,-1.131978662721713,1,0,3,0,-0.32650827624939294,3,0,2,1,4,1,0,2,1,0,0,0,1
STUD0036,-1.6812873211548174,1,2,4,0,-1.2817694706595533,0,0,5,1,1,1,3,1,0,1,1,1,1
STUD0037,-1.131978662721713,1,0,6,1,-0.6449286743861131,4,1,1,0,3,0,4,0,0,0,1,2,0
STUD0038,1.614564629443809,1,2,4,1,0.3103325200240474,0,0,3,0,2,1,4,1,1,2,0,2,0
STUD0039,-1.6812873211548174,3,2,0,1,0.6287529181607675,4,0,6,2,4,0,4,0,0,1,1,5,0
STUD0040,1.4314617432994408,0,1,0,0,-0.32650827624939294,3,0,2,1,2,1,2,1,1,0,0,1,0
STUD0041,-0.9488757765773448,3,2,2,0,0.9471733162974876,4,1,0,0,4,1,4,0,1,1,0,5,0
STUD0042,0.8821530848663365,0,1,1,1,0.6287529181607675,2,0,6,0,0,0,1,1,0,1,1,1,0
STUD0043,1.2483588571550728,0,2,0,0,-1.6001898687962735,2,0,6,1,2,1,3,2,0,2,1,0,1
STUD0044,-1.131978662721713,1,0,6,0,-0.9633490725228332,1,1,2,0,0,0,1,2,0,1,0,5,1
STUD0045,1.614564629443809,2,1,2,1,-1.6001898687962735,4,1,1,0,0,0,1,0,0,1,1,1,0
STUD0046,0.8821530848663365,0,2,3,1,-1.6001898687962735,4,1,4,1,2,0,4,2,1,2,0,4,0
STUD0047,0.8821530848663365,0,0,0,1,0.3103325200240474,3,1,0,0,2,1,2,0,1,1,0,1,1
STUD0048,-0.39956711814424045,1,1,6,1,1.584014112570928,3,1,5,2,0,0,3,2,0,1,0,1,0
STUD0049,-1.131978662721713,0,0,4,1,0.3103325200240474,0,1,6,0,0,1,0,1,1,2,0,1,1
STUD0050,0.3328444264332321,0,0,0,0,-0.32650827624939294,4,1,0,2,2,0,1,1,1,2,0,2,1
STUD0051,-1.3150815488660812,3,2,4,0,1.2655937144342078,4,1,2,1,3,1,0,1,1,0,1,3,1
STUD0052,-0.5826700042886086,2,0,1,0,0.3103325200240474,2,1,5,1,4,0,1,0,0,2,0,5,1
STUD0053,1.2483588571550728,0,1,0,0,1.2655937144342078,0,0,4,1,4,1,4,0,1,2,0,5,0
STUD0054,0.8821530848663365,2,1,1,1,0.6287529181607675,1,0,6,1,2,0,3,2,1,1,1,3,1
STUD0055,1.4314617432994408,1,0,5,0,1.2655937144342078,4,1,5,0,3,1,4,2,0,0,0,4,0
STUD0056,-1.3150815488660812,1,2,0,0,-0.9633490725228332,2,0,5,0,1,1,1,0,0,2,0,5,1
STUD0057,0.6990501987219684,0,1,1,1,-0.9633490725228332,2,0,4,2,3,1,0,0,1,1,1,5,0
STUD0058,0.5159473125776002,2,1,4,1,0.9471733162974876,4,0,3,0,3,1,3,1,1,2,1,3,0
STUD0059,0.6990501987219684,1,1,4,0,-0.008087878112672791,1,0,5,0,3,0,3,1,0,1,0,4,0
STUD0060,1.614564629443809,1,1,6,1,-1.6001898687962735,1,1,6,2,1,0,3,0,1,0,1,4,1
STUD0061,0.3328444264332321,0,1,0,1,-0.6449286743861131,1,1,1,0,0,0,3,1,0,2,0,0,1
STUD0062,-1.3150815488660812,1,0,6,1,-0.6449286743861131,4,1,0,0,0,0,3,2,0,2,1,3,0
STUD0063,0.6990501987219684,1,2,6,1,1.584014112570928,1,1,4,1,2,1,0,1,0,1,1,4,1
STUD0064,-0.2164642319998723,2,1,2,0,1.2655937144342078,4,1,6,0,1,0,3,0,1,1,0,0,1
STUD0065,0.5159473125776002,3,1,2,0,1.2655937144342078,4,1,1,0,1,1,4,2,1,2,1,2,1
STUD0066,-0.39956711814424045,1,0,4,1,-0.008087878112672791,0,0,1,1,2,1,0,0,0,0,0,5,1
STUD0067,-0.9488757765773448,2,1,1,1,-0.9633490725228332,0,1,6,0,2,0,2,1,1,2,1,0,1
STUD0068,0.14974154028886394,2,1,0,0,-0.32650827624939294,4,1,1,2,3,0,2,1,1,1,0,2,1
STUD0069,-0.9488757765773448,3,0,5,0,-0.6449286743861131,2,0,4,0,2,1,0,0,0,2,0,5,1
STUD0070,1.0652559710107046,2,1,6,1,0.3103325200240474,1,1,6,0,0,0,0,1,0,2,1,0,0
STUD0071,1.4314617432994408,1,1,1,0,-1.2817694706595533,1,0,6,0,4,1,3,0,1,2,0,1,1
STUD0072,-0.2164642319998723,0,1,6,0,0.6287529181607675,3,1,0,0,2,1,1,0,0,1,0,0,0
STUD0073,0.3328444264332321,1,2,0,0,-0.6449286743861131,2,0,1,2,1,0,4,0,1,0,0,2,1
STUD0074,-0.7657728904329767,3,1,6,1,-0.6449286743861131,0,1,0,0,3,1,0,0,1,2,1,0,1
STUD0075,-0.39956711814424045,0,1,1,0,1.2655937144342078,1,0,2,1,4,0,0,2,0,1,0,0,0
STUD0076,-0.7657728904329767,3,1,2,1,1.2655937144342078,0,1,1,2,4,1,4,2,0,1,0,4,1
STUD0077,1.614564629443809,2,1,0,0,1.2655937144342078,0,0,2,0,3,1,0,2,0,2,0,2,1
STUD0078,-0.2164642319998723,1,1,6,1,0.6287529181607675,4,1,3,2,1,0,3,0,1,0,1,0,0
STUD0079,-0.2164642319998723,3,0,6,1,-1.6001898687962735,4,1,4,0,2,1,0,1,0,0,1,3,0
STUD0080,-0.5826700042886086,2,1,6,1,-1.2817694706595533,2,0,1,0,4,1,0,0,0,2,1,4,0
STUD0081,0.3328444264332321,0,0,3,1,-0.9633490725228332,2,1,3,0,0,1,4,0,0,2,1,5,0
STUD0082,1.614564629443809,2,2,4,0,0.6287529181607675,4,1,0,2,2,1,1,0,1,0,0,2,0
STUD0083,1.614564629443809,2,2,4,0,1.584014112570928,3,0,1,0,1,0,2,0,1,0,0,3,1
STUD0084,-1.3150815488660812,2,2,2,0,1.584014112570928,0,1,3,0,4,0,2,1,0,2,0,0,1
STUD0085,1.0652559710107046,3,1,5,0,1.584014112570928,2,1,2,2,1,0,4,0,0,1,1,2,0
STUD0086,0.3328444264332321,1,2,2,0,1.2655937144342078,3,0,4,1,1,1,4,2,0,2,1,3,0
STUD0087,0.5159473125776002,2,1,2,0,0.3103325200240474,3,1,2,0,0,0,0,2,0,2,1,4,1
STUD0088,-0.9488757765773448,3,2,3,1,-0.9633490725228332,0,1,0,0,0,0,0,2,0,1,1,5,1
STUD0089,0.3328444264332321,0,2,1,0,0.9471733162974876,2,1,0,0,2,1,3,2,0,0,0,4,1
STUD0090,-0.9488757765773448,3,0,5,1,-0.008087878112672791,1,1,2,0,2,1,1,1,1,2,0,1,0
STUD0091,0.8821530848663365,1,0,6,1,-0.9633490725228332,1,1,5,1,3,0,4,2,0,1,0,5,1
STUD0092,1.614564629443809,0,1,3,0,-1.2817694706595533,4,1,0,1,1,0,2,2,1,1,0,5,0
STUD0093,-0.9488757765773448,2,2,0,1,0.6287529181607675,1,1,2,1,1,0,4,1,0,1,1,3,1
STUD0094,-1.6812873211548174,2,0,4,1,0.3103325200240474,1,0,6,2,0,1,3,1,1,2,0,5,1
STUD0095,-1.4981844350104492,3,0,6,1,-0.6449286743861131,4,1,1,2,3,1,0,2,1,0,0,2,1
STUD0096,1.614564629443809,3,2,2,0,1.584014112570928,3,0,6,2,0,1,3,1,0,1,1,2,0
STUD0097,1.614564629443809,3,0,4,0,-0.008087878112672791,2,1,5,0,4,0,4,0,1,2,1,1,0
STUD0098,-1.131978662721713,0,0,2,1,-1.6001898687962735,0,1,6,1,2,1,0,1,0,2,0,1,0
STUD0099,0.6990501987219684,2,0,2,0,-0.32650827624939294,4,1,3,2,4,1,0,2,1,2,1,1,0
STUD0100,-0.7657728904329767,3,2,5,1,0.6287529181607675,0,0,4,1,3,0,1,2,0,0,0,0,0
STUD0101,1.4314617432994408,2,2,1,0,-0.9633490725228332,4,0,6,0,2,0,1,0,1,2,1,1,0
STUD0102,0.8821530848663365,0,2,3,0,-0.32650827624939294,1,1,6,2,2,1,0,1,1,2,1,2,0
STUD0103,-0.5826700042886086,0,1,3,1,-0.9633490725228332,0,0,0,2,1,1,0,0,1,1,0,0,0
STUD0104,-0.03336134585550418,1,2,5,0,0.6287529181607675,2,1,0,2,3,1,0,1,1,2,1,2,1
STUD0105,-1.131978662721713,0,1,2,0,-0.9633490725228332,2,0,4,1,2,1,4,2,0,0,1,1,0
STUD0106,-0.7657728904329767,0,1,2,0,-0.008087878112672791,4,0,0,0,0,0,3,0,0,2,0,5,1
STUD0107,0.6990501987219684,0,0,4,1,-0.32650827624939294,2,1,6,2,0,1,3,0,0,2,0,0,1
STUD0108,-1.4981844350104492,3,1,3,0,-1.2817694706595533,1,1,3,2,2,0,2,0,0,1,1,3,1
STUD0109,-0.7657728904329767,1,1,6,0,1.584014112570928,2,0,2,2,1,1,4,0,1,2,1,1,1
STUD0110,1.4314617432994408,1,0,2,1,0.3103325200240474,4,0,6,2,2,0,1,2,1,0,1,4,0
STUD0111,0.5159473125776002,0,0,4,0,-1.2817694706595533,0,1,4,1,1,0,1,2,0,1,1,1,0
STUD0112,0.14974154028886394,2,2,5,1,-0.6449286743861131,0,0,3,1,4,0,1,2,1,2,0,0,0
STUD0113,1.0652559710107046,0,1,2,0,0.6287529181607675,4,0,1,2,3,1,2,1,1,1,0,1,1
STUD0114,-1.131978662721713,2,1,3,0,0.6287529181607675,4,1,4,2,2,0,3,2,1,0,1,1,1
STUD0115,1.2483588571550728,2,1,1,1,-1.6001898687962735,1,0,1,0,4,0,2,1,0,1,1,0,1
STUD0116,1.2483588571550728,3,2,2,0,-0.32650827624939294,3,0,4,1,0,1,0,2,0,2,0,5,1
STUD0117,0.6990501987219684,0,1,4,1,0.9471733162974876,1,0,4,2,2,1,3,1,0,2,1,4,0
STUD0118,-0.2164642319998723,1,2,1,0,-1.2817694706595533,0,0,5,1,3,1,1,2,1,2,1,2,0
STUD0119,-1.3150815488660812,3,2,6,0,-0.9633490725228332,3,0,6,2,0,1,3,1,1,1,0,4,0
STUD0120,-0.2164642319998723,3,1,3,1,0.3103325200240474,2,0,1,2,2,1,1,0,1,2,0,0,1
STUD0121,-1.4981844350104492,2,1,2,0,-0.008087878112672791,4,0,3,2,4,1,2,2,1,1,1,0,0
STUD0122,0.5159473125776002,3,1,5,1,-0.008087878112672791,1,0,2,1,3,1,3,1,1,1,1,4,0
STUD0123,0.5159473125776002,2,0,2,0,-1.2817694706595533,3,0,1,0,2,1,4,1,0,0,1,5,0
STUD0124,1.2483588571550728,1,2,3,0,1.2655937144342078,1,1,4,1,0,0,4,1,0,2,0,1,0
STUD0125,-0.2164642319998723,3,1,2,1,-0.9633490725228332,2,1,5,2,4,1,2,1,0,1,1,1,0
STUD0126,-1.131978662721713,3,2,3,1,-0.008087878112672791,2,1,5,2,3,1,1,2,1,0,1,0,0
STUD0127,1.0652559710107046,1,1,3,0,0.9471733162974876,1,0,3,2,0,0,4,2,0,1,1,4,0
STUD0128,0.8821530848663365,3,1,0,1,0.6287529181607675,2,0,5,1,0,1,3,0,1,1,1,1,0
STUD0129,-0.7657728904329767,2,2,6,1,1.584014112570928,3,0,3,1,0,1,3,0,0,2,1,4,1
STUD0130,0.5159473125776002,1,0,5,1,0.6287529181607675,4,1,2,2,0,1,0,0,1,1,0,5,1
STUD0131,1.2483588571550728,3,0,5,1,-0.32650827624939294,3,1,6,2,1,0,3,0,0,1,0,4,0
STUD0132,0.5159473125776002,2,0,1,0,0.3103325200240474,2,0,3,0,1,0,3,0,1,1,1,0,1
STUD0133,-1.6812873211548174,3,1,5,0,-0.9633490725228332,3,1,0,2,2,1,1,0,1,0,0,4,1
STUD0134,-1.6812873211548174,2,1,4,1,-0.32650827624939294,1,1,1,0,2,0,4,0,0,1,0,1,1
STUD0135,-1.131978662721713,0,1,5,1,0.6287529181607675,0,0,1,0,0,1,2,2,1,1,0,4,1
STUD0136,0.3328444264332321,2,2,3,0,0.9471733162974876,4,1,2,1,2,0,0,0,1,0,0,3,1
STUD0137,1.614564629443809,2,2,4,0,1.584014112570928,4,0,1,2,3,1,2,1,0,0,0,5,0
STUD0138,-0.5826700042886086,2,2,5,0,-0.32650827624939294,4,1,1,2,2,1,3,1,0,0,1,1,1
STUD0139,-0.39956711814424045,2,2,3,1,-0.32650827624939294,4,0,1,2,0,1,4,0,0,1,0,2,0
STUD0140,-1.131978662721713,2,2,3,0,-1.2817694706595533,2,1,5,0,4,0,3,2,1,1,0,3,1
STUD0141,-0.7657728904329767,3,2,5,0,-1.2817694706595533,2,1,5,1,0,1,1,1,1,2,1,0,0
STUD0142,-1.6812873211548174,0,0,3,1,1.2655937144342078,1,1,1,0,3,1,3,0,1,2,0,0,1
STUD0143,1.614564629443809,2,1,2,0,0.3103325200240474,1,0,1,0,0,1,1,1,0,2,0,1,1
STUD0144,0.6990501987219684,2,2,5,1,-0.9633490725228332,4,1,4,0,2,1,3,1,1,1,0,3,1
STUD0145,-0.9488757765773448,3,0,5,1,0.3103325200240474,0,0,2,1,0,0,1,0,0,0,0,2,1
STUD0146,-1.6812873211548174,2,2,4,1,0.3103325200240474,2,0,4,2,0,0,0,1,1,1,0,5,0
STUD0147,-1.4981844350104492,0,0,0,1,0.6287529181607675,2,1,6,1,1,1,2,0,0,1,0,0,0
STUD0148,1.0652559710107046,2,2,2,1,0.6287529181607675,2,1,3,0,3,1,0,1,0,0,0,1,0
STUD0149,0.14974154028886394,3,2,2,0,-0.9633490725228332,0,0,3,1,4,1,0,2,1,0,1,1,1
STUD0150,0.8821530848663365,0,0,5,0,0.6287529181607675,3,1,2,1,4,1,4,2,0,1,1,2,0
STUD0151,0.6990501987219684,1,0,4,0,-0.008087878112672791,2,1,6,0,4,0,1,1,1,2,1,3,0
STUD0152,0.3328444264332321,0,0,3,1,-0.008087878112672791,4,0,5,2,3,1,0,2,1,0,0,0,0
STUD0153,-0.9488757765773448,0,0,4,0,0.3103325200240474,3,0,6,1,1,1,1,1,1,0,0,1,1
STUD0154,-1.3150815488660812,1,1,1,1,-0.6449286743861131,4,1,4,1,3,0,4,1,0,0,0,2,0
STUD0155,-1.131978662721713,1,0,1,0,-1.6001898687962735,4,0,4,0,2,0,2,0,1,2,0,0,0
STUD0156,-0.9488757765773448,0,1,6,0,-0.6449286743861131,4,0,5,0,1,0,1,1,1,2,0,1,1
STUD0157,1.2483588571550728,2,0,3,1,-0.32650827624939294,1,0,4,0,2,0,4,2,1,1,0,4,0
STUD0158,-0.7657728904329767,3,1,0,0,-1.2817694706595533,1,1,5,2,0,0,4,1,1,2,1,2,1
STUD0159,0.8821530848663365,3,0,3,0,0.6287529181607675,0,1,5,2,4,1,3,1,1,1,0,3,0
STUD0160,-1.4981844350104492,3,1,6,0,-0.6449286743861131,2,0,4,0,0,0,2,0,1,2,0,2,0
STUD0161,1.0652559710107046,1,1,4,0,1.2655937144342078,0,1,1,1,4,0,0,2,1,1,1,3,0
STUD0162,1.2483588571550728,3,0,1,0,-0.9633490725228332,2,1,2,0,4,1,2,0,1,1,0,2,1
STUD0163,-0.9488757765773448,3,1,5,0,0.3103325200240474,4,0,0,0,2,1,3,2,1,1,0,5,0
STUD0164,0.5159473125776002,3,2,2,0,-0.32650827624939294,2,1,6,2,1,0,2,0,0,1,0,2,1
STUD0165,-1.3150815488660812,0,2,3,0,-1.2817694706595533,4,1,3,2,0,1,2,1,0,1,0,1,1
STUD0166,0.14974154028886394,1,1,3,1,-0.008087878112672791,3,0,2,2,1,1,1,1,0,2,0,5,1
STUD0167,0.8821530848663365,1,2,3,0,-1.6001898687962735,0,1,5,1,1,0,4,0,0,0,1,0,1
STUD0168,0.8821530848663365,2,1,0,0,0.3103325200240474,4,1,3,0,0,1,3,0,0,2,1,4,0
STUD0169,-0.7657728904329767,0,2,4,1,-0.008087878112672791,0,0,0,1,2,1,4,2,1,0,0,0,1
STUD0170,-1.3150815488660812,2,2,0,0,0.6287529181607675,1,1,3,1,2,1,2,2,0,1,1,0,0
STUD0171,1.614564629443809,3,0,5,1,-0.6449286743861131,3,0,5,1,2,1,2,1,1,0,0,2,1
STUD0172,-1.131978662721713,0,2,6,1,-0.32650827624939294,3,0,3,2,4,0,0,0,1,0,1,3,0
STUD0173,-0.9488757765773448,0,2,6,0,-1.6001898687962735,3,0,3,0,3,1,2,0,0,1,1,5,1
STUD0174,-0.2164642319998723,3,2,6,1,1.584014112570928,0,1,0,0,1,1,1,0,0,2,1,5,1
STUD0175,-0.5826700042886086,3,0,5,0,-1.2817694706595533,3,0,3,2,0,0,4,2,0,0,1,2,1
STUD0176,0.6990501987219684,0,2,6,0,-1.2817694706595533,2,1,3,1,3,1,0,1,0,2,1,0,1
STUD0177,1.4314617432994408,1,0,5,1,1.2655937144342078,2,0,2,1,2,1,1,0,1,2,0,3,1
STUD0178,0.14974154028886394,1,1,4,1,0.6287529181607675,4,0,5,1,3,1,4,0,1,1,1,4,1
STUD0179,1.4314617432994408,3,0,6,1,1.584014112570928,2,1,0,2,1,0,1,0,0,1,1,1,1
STUD0180,-0.9488757765773448,3,1,5,1,1.584014112570928,4,0,0,0,2,1,3,2,1,0,0,2,1
STUD0181,-1.6812873211548174,3,0,3,1,-0.6449286743861131,4,0,1,2,1,0,4,2,0,2,0,3,1
STUD0182,-0.9488757765773448,1,1,1,1,1.584014112570928,2,1,5,2,4,0,2,1,1,2,1,1,1
STUD0183,0.8821530848663365,2,0,1,0,1.2655937144342078,3,0,5,2,1,0,2,0,0,2,1,5,0
STUD0184,0.14974154028886394,1,2,6,0,-0.6449286743861131,3,0,4,0,4,0,1,0,1,2,0,1,0
STUD0185,1.0652559710107046,2,2,6,0,-0.6449286743861131,3,0,6,2,3,0,2,0,0,1,0,0,0
STUD0186,1.2483588571550728,2,1,1,1,-0.008087878112672791,1,0,4,2,3,1,0,1,1,2,0,4,1
STUD0187,0.14974154028886394,0,2,1,0,0.6287529181607675,1,0,1,0,0,1,0,0,0,0,1,4,0
STUD0188,0.3328444264332321,2,0,1,1,-0.6449286743861131,1,1,3,1,2,0,4,2,0,2,1,4,0
STUD0189,1.4314617432994408,0,2,5,0,-0.9633490725228332,1,0,2,0,3,1,1,2,0,1,1,4,1
STUD0190,0.8821530848663365,0,1,3,1,1.2655937144342078,0,0,2,2,1,1,2,1,1,0,0,2,0
STUD0191,1.4314617432994408,3,1,0,1,-1.2817694706595533,2,0,5,1,2,1,2,1,0,0,1,0,1
STUD0192,1.614564629443809,2,2,0,0,1.2655937144342078,1,0,1,2,0,0,3,0,1,2,0,5,1
STUD0193,-0.39956711814424045,1,2,0,0,0.3103325200240474,0,0,6,2,4,1,3,1,0,1,1,5,0
STUD0194,-1.3150815488660812,3,2,5,0,1.584014112570928,2,0,0,0,0,1,1,0,1,2,1,5,1
STUD0195,0.3328444264332321,1,1,6,0,-1.2817694706595533,4,1,6,1,4,1,2,2,0,0,1,5,1
STUD0196,-0.9488757765773448,3,1,3,1,-0.008087878112672791,2,0,4,2,0,0,4,1,0,2,0,2,1
STUD0197,-1.4981844350104492,3,0,0,0,-1.2817694706595533,1,0,3,0,1,1,1,0,0,1,1,3,0
STUD0198,1.4314617432994408,1,0,6,0,-0.9633490725228332,4,0,0,2,2,0,1,0,1,1,1,0,0
STUD0199,-1.6812873211548174,3,0,1,0,0.3103325200240474,4,0,0,0,1,0,2,1,0,1,0,0,0
STUD0200,0.8821530848663365,2,0,3,0,1.2655937144342078,2,0,6,0,1,0,0,2,1,0,0,2,0
STUD0201,0.6990501987219684,0,2,0,1,1.584014112570928,1,0,4,2,4,0,4,0,1,2,1,0,0
STUD0202,-0.2164642319998723,3,2,0,0,0.9471733162974876,4,1,6,2,4,0,3,2,0,2,1,5,1
STUD0203,0.14974154028886394,3,1,4,0,1.584014112570928,3,1,6,0,1,0,4,0,0,1,0,0,1
STUD0204,0.14974154028886394,2,2,3,1,-0.32650827624939294,0,0,0,1,1,0,1,2,0,2,1,5,0
STUD0205,0.8821530848663365,3,1,0,1,0.3103325200240474,4,0,6,0,4,0,2,2,1,1,1,4,0
STUD0206,-0.5826700042886086,3,1,4,0,-0.6449286743861131,1,0,3,1,1,0,4,0,1,0,1,3,1
STUD0207,0.8821530848663365,2,0,6,0,-0.9633490725228332,1,1,4,0,4,1,2,0,0,1,1,5,1
STUD0208,0.6990501987219684,3,1,2,1,-0.9633490725228332,0,0,6,2,1,1,4,0,0,2,0,4,0
STUD0209,0.8821530848663365,1,1,5,1,-0.008087878112672791,1,1,2,0,0,1,3,0,1,0,1,3,1
STUD0210,-1.6812873211548174,1,0,6,0,-0.008087878112672791,1,1,5,0,2,1,3,2,0,2,0,2,1
STUD0211,-0.5826700042886086,1,0,3,1,-0.32650827624939294,1,1,4,0,2,1,4,1,0,2,0,4,1
STUD0212,0.8821530848663365,3,2,1,0,-1.2817694706595533,0,1,5,2,4,1,0,1,0,0,0,1,1
STUD0213,-1.131978662721713,3,1,3,0,0.9471733162974876,3,0,5,2,3,0,4,1,1,1,0,4,1
STUD0214,0.6990501987219684,2,2,3,0,1.584014112570928,3,1,1,0,2,1,3,0,1,0,1,1,0
STUD0215,-1.3150815488660812,2,0,4,0,0.9471733162974876,1,0,5,0,1,1,3,0,0,2,1,5,0
STUD0216,-0.2164642319998723,1,2,1,1,1.2655937144342078,2,0,3,2,3,0,3,1,1,1,1,4,1
STUD0217,0.6990501987219684,2,0,1,0,0.9471733162974876,0,1,2,2,1,0,4,2,1,0,0,0,1
STUD0218,0.5159473125776002,3,1,4,1,-0.008087878112672791,0,0,4,0,3,0,1,0,1,2,1,2,1
STUD0219,0.14974154028886394,3,2,1,0,-0.6449286743861131,2,1,1,0,4,1,3,0,0,1,1,2,1
STUD0220,-1.131978662721713,2,0,0,0,-1.2817694706595533,1,0,2,2,4,1,0,2,1,0,0,1,0
STUD0221,-0.5826700042886086,0,1,1,0,0.9471733162974876,1,1,5,0,1,0,0,2,0,2,1,0,0
STUD0222,-0.9488757765773448,0,0,2,1,0.6287529181607675,4,0,3,1,0,0,0,0,0,1,0,0,0
STUD0223,0.14974154028886394,2,2,1,0,-0.9633490725228332,4,1,3,1,2,1,3,2,1,2,0,1,1
STUD0224,-1.3150815488660812,0,2,4,1,-0.9633490725228332,0,1,5,2,2,0,4,1,0,0,1,5,0
STUD0225,-0.5826700042886086,0,2,3,0,-1.2817694706595533,3,0,5,0,4,0,3,0,1,0,1,5,0
STUD0226,-0.03336134585550418,3,2,6,1,-1.2817694706595533,3,1,3,2,4,0,3,0,0,0,1,0,1
STUD0227,0.8821530848663365,0,2,2,1,-1.6001898687962735,0,0,1,1,0,0,1,2,0,1,1,0,1
STUD0228,-1.6812873211548174,3,0,5,0,-1.6001898687962735,1,0,6,1,1,1,4,1,1,0,0,3,1
STUD0229,1.4314617432994408,0,2,6,1,-0.6449286743861131,2,0,6,1,1,1,4,0,0,1,0,2,1
STUD0230,1.2483588571550728,0,2,1,1,0.3103325200240474,3,0,2,2,0,0,3,1,0,1,1,5,1
